id;question;option_a;option_b;option_c;option_d;answer_letter
418;¿Cuál es la relación estequiométrica entre C₃H₈ y CO₂ en C₃H₈ + 5O₂ → 3CO₂ + 4H₂O?;01:01;01:02;01:03;01:04;C
419;¿Qué factor de conversión relaciona las cantidades en moles de sustancias en una reacción?;Masa molar;Relación molar;Volumen molar;Densidad;B
420;¿Cuántos litros de NH₃ en C.N. se producen según 3H₂ + N₂ → 2NH₃ a partir de 1 mol de N₂?;22.4 L;33.6 L;44.8 L;56 L;C
421;¿Cuál es la relación aproximada entre compuestos de carbono y compuestos de otros elementos?;7 millones a 700 000;700 000 a 7 millones;5 millones a 500 000;10 millones a 1 millón;A
422;¿Qué tipo de enlace forman principalmente los compuestos orgánicos con C, H, O y N?;Enlace iónico;Enlace metálico;Enlace covalente;Enlace de hidrógeno;C
423;¿Cuál es el punto de fusión general de la mayoría de los compuestos orgánicos?;Menor a 400 °C;Mayor a 500 °C;Entre 400-600 °C;Mayor a 800 °C;A
424;¿Cuántos electrones de valencia posee el átomo de carbono?;Dos electrones;Tres electrones;Cuatro electrones;Cinco electrones;C
425;¿Qué es la hibridación en química orgánica?;La combinación de átomos diferentes;La combinación de orbitales atómicos del último nivel de energía;La separación de electrones;La pérdida de protones;B
426;¿Cuántos orbitales sp³ se forman en la hibridación tetraédrica?;2 orbitales;3 orbitales;4 orbitales;5 orbitales;C
427;¿Qué tipo de hibridación presenta geometría triangular plana?;sp³;sp²;sp;sp⁴;B
428;¿Cuántos enlaces pi están disponibles en la hibridación sp?;1 enlace pi;2 enlaces pi;3 enlaces pi;4 enlaces pi;B
429;¿Cuál es la fórmula general de los alcanos?;CₙH₂ₙ;CₙH₂ₙ₊₂;CₙH₂ₙ₋₂;CₙH₂ₙ₋₄;B
430;¿Qué terminación se usa para nombrar alcanos?;-eno;-ino;-ano;-ol;C
431;¿Cómo se nombran los radicales alquilo?;Sustituyendo -ano por -il o -ilo;Sustituyendo -ano por -eno;Añadiendo -oico;Añadiendo -ona;A
432;¿Cuál es la fórmula general de los alquenos con un solo doble enlace?;CₙH₂ₙ₊₂;CₙH₂ₙ;CₙH₂ₙ₋₂;CₙH₂ₙ₋₄;B
433;¿Qué terminación se usa para nombrar alquenos?;-ano;-eno;-ino;-ol;B
434;¿Cuál es la fórmula general de los alquinos?;CₙH₂ₙ₊₂;CₙH₂ₙ;CₙH₂ₙ₋₂;CₙH₂ₙ₋₄;C
435;¿Qué terminación se usa para nombrar alquinos?;-ano;-eno;-ino;-ona;C
436;¿Cuál es el alquino más sencillo?;Metino;Etino o acetileno;Propino;Butino;B
437;¿Cuál es la fórmula general de los cicloalcanos?;CₙH₂ₙ₊₂;CₙH₂ₙ;CₙH₂ₙ₋₂;CₙH₂ₙ₋₄;B
438;¿Qué prefijo se antepone para nombrar cicloalcanos?;meta-;ciclo-;iso-;para-;B
439;¿Cuál es la fórmula general de los cicloalquenos sencillos?;CₙH₂ₙ₊₂;CₙH₂ₙ;CₙH₂ₙ₋₂;CₙH₂ₙ₋₄;C
440;¿Cuál es la fórmula general de los cicloalquinos sencillos?;CₙH₂ₙ;CₓH₂ₙ₋₂;CₙH₂ₙ₋₄;CₙH₂ₙ₊₂;C
441;¿Cuál es la fórmula molecular del benceno?;C₅H₆;C₆H₆;C₆H₁₂;C₇H₈;B
442;¿Cómo se representa el benceno?;Un anillo de cinco miembros;Un anillo de seis miembros con tres dobles enlaces conjugados;Un anillo de siete miembros;Una cadena lineal;B
443;¿Qué caracteriza a los derivados halogenados?;Presencia de oxígeno;Reemplazo de hidrógeno por halógeno;Presencia de nitrógeno;Triple enlace carbono-carbono;B
444;¿Cuál es el grupo funcional de los alcoholes?;-CHO;-COOH;-OH;-NH₂;C
445;¿A qué tipo de carbono está unido el grupo oxhidrilo en alcoholes?;Carbono insaturado sp²;Carbono saturado sp³;Carbono aromático;Carbono con triple enlace;B
446;¿Qué terminación se usa para nombrar alcoholes primarios?;-al;-ona;-ol;-ano;C
447;¿Cuál es la fórmula general de los éteres?;R-OH;R-O-R';R-CHO;R-COOH;B
448;¿Cómo se nombran los éteres?;Con el nombre de grupos alquilo seguido de éter;Terminación -ol;Terminación -al;Terminación -oico;A
449;¿Dónde se ubica siempre el grupo carbonilo en los aldehídos?;En medio de la cadena;Al extremo de la cadena;En cualquier posición;No tiene posición definida;B
450;¿Cuál es el grupo funcional de los aldehídos?;R-CO-R;R-CHO;R-OH;R-COOH;B
451;¿Qué terminación se usa para nombrar aldehídos?;-ol por -al;-ano por -eno;-ano por -ino;-ol por -ona;A
452;¿Dónde se ubica el grupo carbonilo en las cetonas?;Al extremo de la cadena;En medio de la cadena;Siempre en el carbono 1;En el carbono final;B
453;¿Cuál es el grupo funcional de las cetonas?;R-CHO;R-COOH;R-CO-R;R-OH;C
454;¿Qué terminación se usa para nombrar cetonas?;-ol por -ona;-ano por -al;-ano por -eno;-ol por -al;A
455;¿Cuál es el nombre común de la propanona?;Formol;Acetona;Formaldehído;Acetileno;B
456;¿Dónde se ubica el grupo carboxilo en los ácidos carboxílicos?;En medio de la cadena;En los extremos de la cadena;En cualquier posición;Nunca en los extremos;B
457;¿Cuál es el grupo funcional de los ácidos carboxílicos?;R-OH;R-CHO;R-COOH;R-CO-R;C
458;¿Qué terminación se usa para nombrar ácidos carboxílicos?;-oico;-ol;-al;-ona;A
459;¿Qué palabra se antepone al nombrar ácidos carboxílicos?;Radical;Éter;Ácido;Alcohol;C
460;¿Cuál es el nombre común del ácido metanoico?;Ácido acético;Ácido fórmico;Ácido propiónico;Ácido butírico;B
461;¿Cuál es el nombre común del ácido etanoico?;Ácido fórmico;Ácido acético;Ácido propanoico;Ácido benzoico;B
462;¿De qué compuestos son derivados los ésteres?;De los alcoholes;De los aldehídos;De los ácidos carboxílicos;De las cetonas;C
463;¿Cómo se nombran los ésteres?;Cambiando -oico por -oato más el radical con -ilo;Cambiando -ano por -eno;Añadiendo prefijo ciclo-;Terminación -amina;A
464;¿Qué elementos constituyen los compuestos nitrogenados?;C, H, O;C, H, N;C, O, N;H, O, N;B
465;¿Con qué compuesto están relacionadas las aminas?;Con el metano;Con el agua;Con el amoniaco;Con el benceno;C
466;¿Cuántos hidrógenos del amoniaco se reemplazan en una amina primaria?;Ninguno;Uno;Dos;Tres;B
467;¿Cuál es la fórmula de una amina primaria?;R₃N;R₂NH;RNH₂;R-NH-R;C
468;¿Qué prefijo se usa para aminas secundarias con radicales iguales?;tri-;di-;tetra-;mono-;B
469;¿Qué localizador llevan los sustituyentes unidos directamente al nitrógeno?;M;N;O;P;B
470;¿Qué resulta al sustituir un hidrógeno del amoniaco por un grupo acilo?;Un alcohol;Un aldehído;Una amida;Una cetona;C
471;¿Qué terminación reemplaza a -ico en el nombre de amidas primarias?;-amina;-amida;-ol;-al;B
472;¿Cuál es el nombre común de la metanoamida?;Acetamida;Propionamida;Formamida;Butanamida;C
473;¿Cuál es otro nombre para los nitrilos?;Aminas;Amidas;Cianuros;Alcoholes;C
474;¿De qué ácido son derivados los nitrilos?;Ácido acético;Ácido sulfúrico;Ácido cianhídrico;Ácido nítrico;C
475;¿Cuál es el grupo funcional de los nitrilos?;-OH;-CHO;-C≡N;-COOH;C
476;¿Qué sufijo se añade para nombrar nitrilos?;-amina;-nitrilo;-ol;-ona;B
477;¿Cuál es la fórmula del metano?;CH₃;CH₄;CH₂;CH₅;B
478;¿Cuál es la fórmula del butano?;CH₃-CH₂-CH₂-CH₃;CH₃-CH₃;CH₃-CH₂-CH₃;CH₃-CH₂-CH₂-CH₂-CH₃;A
479;¿Cuál es la fórmula del propano?;C₃H₂;C₃H₄;C₃H₆;C₃H₈;D
480;¿Cuál es la fórmula del buteno?;C₄H₁₀;C₄H₄;C₄H₈;C₄H₆;C
481;¿Cuál es la fórmula del pentanol?;C₅H₁₀OH;C₅H₁₁OH;C₅H₁₂OH;C₅H₈OH;B
482;¿Cuál es la fórmula del etileno?;C₂H₂;C₂H₄;C₂H₆;C₂H₈;B
483;¿Cuál es la fórmula del octano?;C₈H₁₄;C₈H₁₆;C₈H₁₈;C₈H₁₀;C
484;¿Cuál es la fórmula del formol?;C₂H₅-CHO;CH₃-CHO;H-CHO;C₆H₅-CHO;C
485;¿Cuál es el ácido carboxílico presente en el vinagre?;CH-COOH;CH₃-COOH;CH₃-CHO;CH₄-COOH;B
486;¿Cuál es la fórmula del cloruro de metilo?;CH₃-Cl;CH₃-Cl-C₂H₅;C₂H₅-Cl-C₂H₅;CH₃-Cl-C₃H₇;A
487;¿Cuál es la fórmula del pentano?;C₅H₁₀;C₅H₈;C₅H₁₁;C₅H₁₂;D
488;¿Qué ángulo forman los átomos de carbono unidos por enlace simple?;90°;109.5°;120°;180°;B
489;¿Qué ángulo forman los átomos de carbono unidos por doble enlace?;109.5°;120°;180°;90°;B
490;¿Qué ángulo forman los átomos de carbono unidos por triple enlace?;109.5°;120°;150°;180°;D
