id;question;option_a;option_b;option_c;option_d;answer_letter;;
458;¿Cuánto dura la fase del orgasmo masculino?;1 a 5 segundos;3 a 15 segundos;15 a 30 segundos;30 a 60 segundos;B;;
459;¿Cuál es la longitud aproximada de cada ovario?;1 cm;2 cm;3 cm;4 cm;C;;
460;¿Cuál es el ancho aproximado de cada ovario?;0,5 cm;1 cm;1,5 cm;2 cm;C;;
461;¿Cuál es el grosor aproximado de cada ovario?;0,5 cm;1 cm;1,5 cm;2 cm;B;;
462;¿Cuántos ovocitos primarios aproximadamente hay al nacer en ambos ovarios?;100000 a 1000000;200000 a 2000000;400000 a 4000000;800000 a 8000000;B;;
463;¿Cuántos ovocitos primarios aproximadamente siguen presentes al alcanzar la pubertad?;20000;30000;40000;50000;C;;
464;¿Cuántos ovocitos aproximadamente podrán madurar durante la vida fértil de la mujer?;200;400;600;800;B;;
465;¿Cuál es la longitud de las trompas uterinas?;5 cm;8 cm;10 cm;12 cm;C;;
466;¿Cuál es la longitud aproximada del útero desde el cuello hasta el fondo?;5 cm;7 cm;9 cm;11 cm;B;;
467;¿Cuál es el ancho máximo del útero en el fondo?;2 cm;3 cm;4 cm;5 cm;C;;
468;¿Cuál es el grosor aproximado del útero?;1,5 cm;2,5 cm;3,5 cm;4,5 cm;B;;
469;¿Cuántos centímetros mide aproximadamente el miometrio en el útero no embarazado?;0,75 cm;1,25 cm;1,75 cm;2,25 cm;B;;
470;¿Cuál es la longitud aproximada de la vagina?;5 cm;7 cm;10 cm;12 cm;C;;
471;¿Cuántas horas es viable el ovocito secundario después de la ovulación?;12 horas;18 horas;24 horas;36 horas;C;;
472;¿Cuántos días dura la ventana de mayor probabilidad de embarazo?;1 día;2 días;3 días;4 días;C;;
473;¿Cuántos lóbulos tiene cada glándula mamaria?;8 o 12;10 o 15;15 o 20;20 o 25;C;;
474;¿Cuántos días dura típicamente el ciclo reproductor femenino?;21 a 28 días;24 a 35 días;28 a 40 días;30 a 45 días;B;;
475;¿Cuántos días dura la fase menstrual?;3 días;5 días;7 días;10 días;B;;
476;¿En qué día del ciclo de 28 días ocurre típicamente la ovulación?;Día 10;Día 12;Día 14;Día 16;C;;
477;¿Cuántos días dura la fase posovulatoria en un ciclo de 28 días?;10 días;12 días;14 días;16 días;C;;
478;¿A qué grosor crece el endometrio durante la fase preovulatoria?;2-6 mm;4-10 mm;8-14 mm;10-16 mm;B;;
479;¿A qué grosor llega el endometrio durante la fase posovulatoria?;6-10 mm;8-12 mm;10-16 mm;12-18 mm;D;;
480;¿Cuántos días después de la fecundación se produce la implantación aproximadamente?;3 días;5 días;7 días;9 días;C;;
481;¿Cuántos días dura la espermatogénesis en humanos?;45 a 55 días;55 a 65 días;65 a 75 días;75 a 85 días;C;;
482;¿Cuántos cromosomas tienen las espermatogonias?;23;46;69;92;B;;
483;¿Cuántos cromosomas tienen los espermatocitos secundarios?;23;46;69;92;A;;
484;¿Cuántas espermátides produce cada espermatocito primario?;Dos;Cuatro;Seis;Ocho;B;;
485;¿Cuántos espermatozoides completan la espermatogénesis cada día aproximadamente?;100 millones;200 millones;300 millones;400 millones;C;;
486;¿Cuánto mide aproximadamente un espermatozoide maduro?;40 μm;50 μm;60 μm;70 μm;C;;
487;¿Cuántos espermatozoides de los 200 millones que ingresan en la vagina llegan al cuello uterino?;Menos de 500000;Menos de 1 millón;Menos de 2 millones;Menos de 3 millones;C;;
488;¿Cuántos espermatozoides aproximadamente llegan hasta el ovocito secundario?;50;100;200;400;C;;
489;¿Cuántas semanas dura el período embrionario?;4 semanas;6 semanas;8 semanas;10 semanas;C;;
490;¿Cuántos trimestres tiene el desarrollo prenatal?;Dos;Tres;Cuatro;Cinco;B;;
491;¿Cuántos días permanece libre el blastocisto en la cavidad uterina antes de adherirse?;1 día;2 días;3 días;4 días;B;;
492;¿En qué día después de la fecundación se produce la gastrulación?;Día 10;Día 12;Día 15;Día 18;C;;
493;¿Cuántas horas dura típicamente la etapa de dilatación del parto en el primer embarazo?;2 a 4 horas;4 a 8 horas;6 a 12 horas;12 a 18 horas;C;;
494;¿Cuántas horas dura típicamente el parto en mujeres que ya han dado a luz?;4 horas;6 horas;8 horas;10 horas;C;;
495;¿Cuántos minutos dura la etapa placentaria del parto?;1-10 minutos;5-30 minutos;30-60 minutos;60-90 minutos;B;;
496;¿Qué estructura separa el escroto en dos sacos?;Rafe;Septo escrotal;Túnica albugínea;Músculo dartos;B;;
497;¿Qué estructura divide el testículo en lobulillos?;Epidídimo;Túnica albugínea;Red testicular;Túbulos seminíferos;B;;
498;¿Cuántos túbulos seminíferos contiene cada lobulillo testicular?;Ninguno;Uno a tres;Cuatro a seis;Siete a nueve;B;;
499;¿Qué conducen los túbulos rectos del testículo?;Al epidídimo;A la red testicular;Al conducto deferente;A la uretra;B;;
500;¿Dónde se produce la maduración de los espermatozoides?;Túbulos seminíferos;Epidídimo;Conducto deferente;Uretra;B;;
501;¿Qué estructura sale de la cola del epidídimo?;Túbulos eferentes;Conducto deferente;Conducto eyaculador;Uretra;B;;
502;¿Qué forman al unirse el conducto deferente y el de la vesícula seminal?;Conducto eferente;Conducto eyaculador;Uretra prostática;Uretra esponjosa;B;;
503;¿Qué contiene el acrosoma del espermatozoide?;Mitocondrias;Núcleo;Enzimas;Centriolos;C;;
504;¿Qué parte del espermatozoide contiene las mitocondrias en espiral?;Cabeza;Cuello;Pieza intermedia;Pieza principal;C;;
505;¿Qué estructura forma la pared esférica del blastocisto?;Embrioblasto;Trofoblasto;Mórula;Zona pelúcida;B;;
506;¿Qué estructura del blastocisto dará origen al embrión?;Trofoblasto;Citotrofoblasto;Sincitiotrofoblasto;Embrioblasto;D;;
507;¿Qué estructura del blastocisto dará origen a la placenta?;Embrioblasto;Trofoblasto;Mórula;Blastocele;B;;
508;¿Cuántas capas germinales primarias se forman durante la gastrulación?;Una;Dos;Tres;Cuatro;C;;
509;¿Qué capa germinal da origen al sistema nervioso?;Endodermo;Mesodermo;Ectodermo;Todas las anteriores;C;;
510;¿Qué capa germinal da origen al revestimiento del tubo digestivo?;Endodermo;Mesodermo;Ectodermo;Todas las anteriores;A;;
511;¿Qué capa germinal da origen a músculos y huesos?;Endodermo;Mesodermo;Ectodermo;Todas las anteriores;B;;
512;¿Cómo se denomina el proceso de liberación de espermatozoides de las células de Sertoli?;Espermatogénesis;Espermogénesis;Espermiación;Capacitación;C;;
513;¿Qué proceso prepara a los espermatozoides para fecundar en el tracto femenino?;Espermatogénesis;Espermogénesis;Capacitación;Reacción acrosómica;C;;
514;¿Cómo se llama la fusión de los pronúcleos masculino y femenino?;Fecundación;Singamia;Capacitación;Gastrulación;B;;
515;¿Cómo se denominan las células producidas por la segmentación del cigoto?;Mórula;Blastómeras;Blastocisto;Trofoblasto;B;;
516;¿En qué día entra la mórula en la cavidad uterina?;Segundo o tercer día;Cuarto o quinto día;Sexto o séptimo día;Octavo o noveno día;B;;
517;¿Qué nombre recibe el endometrio después de la implantación?;Perimetrio;Miometrio;Decidua;Placenta;C;;
518;¿Cuántas capas forma el disco germinativo bilaminar?;Una;Dos;Tres;Cuatro;B;;
519;¿Entre qué semanas ocurre el periodo de organogénesis?;Primera y segunda;Segunda y tercera;Tercera y octava;Octava y décima;C;;
520;¿Qué estructura rodea parcialmente el orificio vaginal?;Clítoris;Himen;Labios mayores;Labios menores;B;;
521;¿Qué glándulas se encuentran a cada lado del orificio vaginal?;Glándulas de Cowper;Glándulas de Bartholin;Glándulas de Skene;Glándulas mamarias;B;;
522;¿Qué músculo puede elevar los testículos hacia el cuerpo?;Músculo dartos;Músculo cremáster;Músculo detrusor;Músculo bulbocavernoso;B;;
523;¿Qué células nutren el ovocito en desarrollo?;Células de Leydig;Células de Sertoli;Células de la granulosa;Células intersticiales;C;;
524;¿Cómo se llama el folículo lleno de líquido listo para romperse?;Folículo primordial;Folículo primario;Folículo secundario;Folículo maduro o de Graaf;D;;
525;¿Qué estructura se forma después de la ovulación?;Folículo primario;Cuerpo lúteo;Cuerpo albicans;Corona radiada;B;;
526;¿Qué estructura se forma cuando degenera el cuerpo lúteo?;Folículo maduro;Cuerpo albicans;Corona radiada;Zona pelúcida;B;;
527;¿Qué hormona rescata al cuerpo lúteo durante el embarazo?;FSH;LH;hCG;Progesterona;C;;
528;¿A partir de qué día después de la fecundación se produce la hCG?;Cuarto día;Sexto día;Octavo día;Décimo día;C;;
529;¿Qué capa del útero se desecha durante la menstruación?;Perimetrio;Miometrio;Estrato basal;Estrato funcional;D;;
530;¿Qué capa del útero permanece después de la menstruación?;Perimetrio;Miometrio;Estrato basal;Estrato funcional;C;;
531;¿Cuántos centímetros de dilatación cervical indica dilatación completa?;6 cm;8 cm;10 cm;12 cm;C;;
532;¿Qué nombre recibe la semana dos del desarrollo embrionario?;Semana de la fecundación;Semana de los dos;Semana de la gastrulación;Semana de la implantación;B;;
533;¿Qué estructura forma un capuchón sobre la cabeza del espermatozoide?;Núcleo;Acrosoma;Flagelo;Centríolo;B;;
534;¿Qué nombre recibe la división celular rápida del cigoto?;Fecundación;Segmentación;Gastrulación;Implantación;B;;
535;¿Qué estructura del ovario contiene el óvulo en desarrollo?;Cuerpo lúteo;Cuerpo albicans;Folículo ovárico;Médula ovárica;C;;
536;¿Cuál es la porción más ancha y larga de la trompa uterina?;Infundíbulo;Ampolla;Istmo;Cuello;B;;
537;¿Qué estructura en forma de embudo se encuentra próxima al ovario?;Ampolla;Istmo;Infundíbulo;Fimbrias;C;;
538;¿Cómo se llaman las proyecciones digitiformes del infundíbulo?;Ampolla;Fimbrias;Vellosidades;Microvellosidades;B;;
539;¿Qué estructura del útero se abre en el techo de la vagina?;Fondo;Cuerpo;Cuello uterino;Trompa uterina;C;;
540;¿Qué proceso convierte las espermátides en espermatozoides?;Espermatogénesis;Espermogénesis;Meiosis;Mitosis;B;;
