id;question;option_a;option_b;option_c;option_d;answer_letter
496;Simplificando csc(x)/sec(x)+tan(x) tenemos:;csc(x);tan(x);sec(x);ctg(x);D
497;Al simplificar (1+sen(x)+cos(x))² tenemos:;2sen(x)·cos(x);csc(x)·sen(x);sec(x);ctg(x);A
498;tan(x)+cot(x) es equivalente a:;csc(x)·sen(x);tan(x)·ctg(x);2sec(x);tan(x);B
499;La expresión (1+sen²(x))/(1+cotan²(x)) es igual a:;1;3;1-feb;2;A
500;cos(x+30°)+cos(x-30°) es igual a:;√3cos(x);sen(x);cos(x);sen(30°);A
501;Al simplificar sen(x+30°)+sen(x-30°) se tendrá:;sen(x);cos(x);sen(30°);cos(30°);A
502;(1-cos²(x))·cosec²(x) simplificado da:;1;cos²(x);sen⁴(x);2;A
503;Al simplificar sec²(x)-sen²(x) se obtiene:;cos(x);sen(x);sen(30°);cos(30°);A
504;El valor de sen(120°) será:;√3/2;(√6-√2)/4;(√6+√3)/4;√6/4;A
505;El valor de tan(π/12) será:;2-√3;√3/3;3-√3;(√3-3)/(√3+3);A
506;La expresión sen(7x)+sen(5x)/cos(7x)-cos(5x) es igual a:;-COT(x);tan(x);sen(x);cos(x);A
507;La afirmación sen²(x)+cos²(x)=1 es:;verdadera;falsa;depende del cuadrante;verdadera solo para ángulos agudos;A
508;La expresión sen(x)/(sen(x)+cos(x)) simplificada será igual a:;1+cotan(x);1-cotan(x);sen²(x);cos²(x);A
509;cos(x)·cotan(x) simplificado es igual a:;cos(x);sen(x);tan(x);cot(x);A
510;sen(x)/cos(x)+cos(x)/sec(x) simplificado es igual a:;1;cos(x);sen(x);-1;A
511;tan(x)/sen(x) simplificado es igual a:;sec(x);sen(x);tan(x);csc(x);A
512;cosec(x)/cotan(x) simplificado es igual a:;sec(x);csc(x);tan(x);cot(x);A
513;(1-cos²(x))/cosec²(x) simplificado es igual a:;1;cos⁴(x);sen⁴(x);0;C
514;(cosec²(x)-1)/cos²(x) simplificado es igual a:;1;csc(x);tan(x);cot(x);A
515;Si tan(α)=3 y tan(α+β)=1, entonces tan(β) es:;-0,5;1;1-mar;1-feb;A
516;La expresión (sen(75°)·cos(30°)-cos(75°)·sen(30°))/cos(60°) simplificada da:;1;1-feb;2;2-mar;A
517;Si cos(3x)·sen(x)+sen(3x)·cos(x)=√3/2, entonces x vale:;20°;15°;10°;5°;C
518;Si sen(α)=1/2 (2do cuadrante) y cos(β)=-√2/2 (4to cuadrante), entonces sen(α+β) es:;(√6-√2)/4;(√6+√2)/4;(√2-√6)/4;#¿NOMBRE?;A
519;Simplificar (sen(x+30°)+sen(x-30°))/sen(x) da:;2cot(x);csc(x);cot(x);tan(x);C
520;La expresión (cos(α)-cos(x))/(sen(α)-sen(x))·tan(x) es igual a:;cot(α);tan(x);cot(x);tan(2x);C
521;Simplificar tan(α)/(cos(x-α)+cos(x+α)) da:;tan(x);tan(α);cot(α);cot(x);A
522;Si tan(α+45°)=4/5 y tan(α)=3/4, entonces tan(β) es:;1-sep;1;2;4;A
523;La expresión (sen(x+y)+sen(x-y))/(sen(x)·sen(y)) es igual a:;2tan(y);tan(y);cot(y);2cot(y);D
524;Si sen(α)=3/5 con 0°<α<90°, entonces sen(α+30°) es:;(3√3+4)/10;(3+√3)/10;(3√3-4)/10;(3√3+4)/5;A
525;Si sen(α)=3/5 con 0°<α<90°, entonces cos(α+45°) es:;(4-3√2)/10;(√3-10)/3;(√2-10)/3;√2/10;A
526;La fórmula tan(A-B) es igual a:;(tan(A)-tan(B))/(1+tan(A)tan(B));(tan(A)+tan(B))/(1-tan(A)tan(B));(tan(A)-tan(B))/(1-tan(A)tan(B));(tan(A)tan(B)-1)/(tan(A)+tan(B));A
527;¿Cuál es otra expresión para tan(2A)?;(cot(A)-tan(A))/2;cot(A)-tan(A);2cot(A)-tan(A);(cot(A)-tan(A))/1;B
528;La expresión sen(2A) también puede escribirse como:;2sen(A)√(1-sen²(A));sen(A)+cos(A);2sen²(A);sen(A)·cos(A);A
529;tan(A/2) es igual a:;±√((1-cos(A))/(1+cos(A)));±√((1+cos(A))/(1-cos(A)));±√((1-sen(A))/(1+sen(A)));(1-cos(A))/sen(A);A
530;La fórmula tan(3A) es:;(3tan(A)-tan³(A))/(1-3tan²(A));(3tan(A)+tan³(A))/(1-3tan²(A));3tan(A)-tan³(A);(tan(A)-3tan³(A))/(1-3tan²(A));A
531;sen(A-B) es igual a:;sen(A)cos(B)-cos(A)sen(B);sen(A)cos(B)+cos(A)sen(B);cos(A)cos(B)-sen(A)sen(B);cos(A)sen(B)-sen(A)cos(B);A
532;cos(A+B) es igual a:;cos(A)cos(B)-sen(A)sen(B);cos(A)cos(B)+sen(A)sen(B);sen(A)cos(B)+cos(A)sen(B);sen(A)sen(B)-cos(A)cos(B);A
533;La expresión (1+sec²(y))/(2cos²(y)) es equivalente a:;sec²(y/2);sec(y/2);2sec²(y);sec(y);A
534;sec²(x)=1+tan²(x) es una identidad:;verdadera;falsa;válida solo en el primer cuadrante;válida solo para ángulos de 45°;A
535;Al simplificar sen(A/2)/(cos(A/2)) se obtiene:;tan(A/2);cot(A/2);sen(A);cos(A);A
536;La expresión 2sen(A)cos(A) es equivalente a:;sen(2A);cos(2A);tan(2A);sen(A)+cos(A);A
537;cos²(A)-sen²(A) es otra forma de escribir:;cos(2A);sen(2A);2cos(A);2sen(A);A
538;La expresión (sen(x+y)-sen(x-y))/(2cos(x)) es igual a:;sen(y);cos(y);tan(y);cot(y);A
539;Al reducir (cos(10°)+cos(x-10°))/(2cos(x)) se obtiene:;cos(10°);sen(10°);sen(15°);cos(20°);A
540;La expresión sen(A/2) también puede escribirse como:;±sen(A)/(√(2+2cos(A)));±√(2-2cos(A))/2;±√((1-cos(A))/2);±√((1+cos(A))/2);C
541;cos(A/2) también se expresa como:;±√((1+cos(A))/2);±√((1-cos(A))/2);±√(2/(1+cos(A)));±cos(A)/2;A
542;La fórmula sen²(x)+cotan²(x)·sen²(x) es igual a:;1;sen²(x);cos²(x);tan²(x);A
543;Al simplificar (cos(x+y)+cos(x-y))/(2cos(x)) se obtiene:;cos(y);sen(y);tan(y);cot(y);A
544;La expresión 1-2sen²(A) es equivalente a:;cos(2A);sen(2A);tan(2A);cot(2A);A
545;¿Qué consiste en hallar en la resolución de triángulos?;Lados, ángulos y área;Solo lados;Solo ángulos;Solo el área;A
546;¿Qué ángulo interior tiene un triángulo rectángulo?;Un ángulo de 45°;Un ángulo recto de 90°;Un ángulo de 60°;Tres ángulos iguales;B
547;¿Cómo se llama el lado de mayor longitud en un triángulo rectángulo?;Cateto;Base;Hipotenusa;Altura;C
548;¿Cuántos datos conocidos se necesitan para resolver un triángulo rectángulo?;Uno;Dos;Tres;Cuatro;B
549;¿Cuál es la relación de ángulos en un triángulo rectángulo?;α+β=180°;α+β=90°;α+β=60°;α+β=45°;B
550;¿Cuál es el teorema de Pitágoras?;hipotenusa²=cateto²+cateto²;hipotenusa=cateto+cateto;hipotenusa²=cateto²-cateto²;hipotenusa=cateto²+cateto²;A
551;La fórmula sen(φ) en un triángulo rectángulo es:;cateto adyacente/hipotenusa;cateto opuesto/hipotenusa;hipotenusa/cateto opuesto;cateto opuesto/cateto adyacente;B
552;La fórmula cos(φ) en un triángulo rectángulo es:;cateto opuesto/hipotenusa;cateto adyacente/hipotenusa;hipotenusa/cateto adyacente;cateto adyacente/cateto opuesto;B
553;La fórmula tan(φ) es igual a:;cateto opuesto/cateto adyacente;cateto adyacente/cateto opuesto;cateto opuesto/hipotenusa;hipotenusa/cateto opuesto;A
554;El perímetro de un triángulo rectángulo es:;a+b+c;2(a+b);a·b/2;a²+b²+c²;A
555;El área de un triángulo rectángulo es:;(cateto·cateto)/2;cateto+cateto;cateto²+cateto²;2·cateto·cateto;A
556;Si a=2√5 y b=2√3, entonces la hipotenusa es:;4√2;2√8;4√2;8;A
557;Si la hipotenusa es 5m y un cateto es 3m, el otro cateto es:;3m;4m;6m;7m;B
558;Si un triángulo tiene área 270cm² y un cateto de 10cm, el otro cateto es:;20cm;25cm;27cm;30cm;C
559;Si la base es 10 y la altura es 5, el área es:;25u²;50u²;100u²;15u²;A
560;Si sen(60°)=24/hip, entonces hip es igual a:;12√3;16√3;20√3;24√3;B
561;Desde un edificio de 50m con ángulo de 30°, la distancia x es:;25√3m;50√3m;75√3m;100√3m;B
562;Si tan(60°)=h/3, entonces h es igual a:;3m;3√2m;3√3m;6m;C
563;Si la sombra es 15m y el ángulo es 60°, la altura h es:;15m;15√2m;15√3m;30m;C
564;Un triángulo con catetos 3 y 4, tiene hipotenusa de longitud:;5;6;7;8;A
565;¿Qué es un triángulo oblicuángulo?;Tiene un ángulo de 90°;Ningún ángulo es recto;Todos los ángulos son iguales;Tiene dos ángulos rectos;B
566;Un triángulo acutángulo tiene:;Un ángulo mayor a 90°;Tres ángulos menores a 90°;Un ángulo de 90°;Dos ángulos de 90°;B
567;Un triángulo obtusángulo tiene:;Tres ángulos menores a 90°;Un ángulo mayor a 90°;Un ángulo de 90°;Todos los ángulos iguales;B
568;La suma de ángulos interiores en un triángulo es:;90°;180°;270°;360°;B
569;El teorema de senos establece que:;a/sen(α)=b/sen(β)=c/sen(θ);a·sen(α)=b·sen(β);a+sen(α)=b+sen(β);a²/sen(α)=b²/sen(β);A
570;La fórmula del teorema de cosenos para a² es:;b²+c²-2bc·cos(α);b²+c²+2bc·cos(α);b²-c²-2bc·cos(α);b²+c²-bc·cos(α);A
571;Si a=5, b=3 y C=60°, entonces c² es igual a:;16;19;25;28;B
572;Si A=120°, B=30°, entonces C es igual a:;20°;30°;40°;50°;B
573;Si a=10, A=30°, B=120°, entonces b es igual a:;5√3;10√3;10√3/3;20√3;B
574;Si b=9, B=45°, C=60°, entonces b es igual a:;3√6;6√3;9√6;12√3;A
575;Si B=45°, C=60°, entonces A es igual a:;60°;75°;90°;105°;B
576;¿Cuál afirmación sobre el teorema de Pitágoras es correcta?;El cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos;Un cateto es igual al cuadrado de los otros dos lados;El cuadrado de un lado es igual a la suma de los otros dos lados;La hipotenusa es igual a la suma de los catetos;D
577;¿Cuándo es aplicable la ley de senos a triángulos rectángulos?;Cuando se conocen dos lados y el ángulo comprendido;Solo a triángulos rectángulos;Cuando se conocen solamente dos ángulos;Ninguna de las respuestas anteriores;D
578;¿A qué triángulos se aplica la ley de cosenos?;Solo triángulos oblicuángulos;Solo triángulos rectángulos;Cualquier tipo de triángulos;Solo cuando se conoce Pitágoras;C
579;Para hallar el ángulo A con teorema de cosenos se usa:;cos(A)=(b²+c²-a²)/(2bc);cos(A)=(c²+a²-b²)/(2ca);cos(A)=(a²+b²-c²)/(2ab);cos(A)=(b²+a²-c²)/(2ca);A
580;Si A=30°, a=√3m, b=√6m, entonces B es igual a:;30°;45°;60°;90°;C
581;Si el hilo del volantín es 16m y el ángulo es 30°, la altura es:;4m;6m;8m;10m;C
582;Si la hipotenusa es 4m y un cateto es 2m, el otro cateto es:;2m;2√3m;3m;2√6;B
583;Si a=5m, b=3m, C=60°, entonces c es igual a:;√10;√15;√19;√25;C
584;Si los catetos son 6 y 8, el perímetro es:;14;20;24;28;C
585;Si sen(x)=0.5, entonces la hipotenusa es:;1;2;3;4;B
586;Si la altitud es 1000m y el ángulo con la vertical es 60°, la distancia es:;500m;1000m;1500m;2000m;D
587;Si la altura de las torres es 60m y el ángulo de depresión es 60°, la distancia es:;10m;20√3m;60√3/3m;100m;C
588;Si 2cos(α)=cotan(α), entonces α es:;0°;30°;45°;60°;C
589;En un triángulo isósceles con ángulo del vértice 90° y lados iguales 50m, la altura es:;25√2;30√2;50√2/4;50√2;A
590;Si sen(α)=1, la hipotenusa vale:;0.5;1;2;√2;D
591;Si los catetos son 9 y 12, la hipotenusa es:;5;10;15;20;C
592;¿Cuál afirmación es correcta sobre triángulos?;Un rectángulo tiene ángulo mayor a 90°;Los acutángulos tienen lados menores a 90°;Pitágoras se aplica a cualquier triángulo;Los acutángulos tienen un ángulo mayor a 90°;B
593;Si dos lados miden 5m cada uno y el ángulo comprendido es recto, es:;Solo rectángulo;Solo isósceles;Rectángulo e isósceles;No tiene solución;C
594;Si los ángulos son 30°, 40° y 50°, entonces:;No es triángulo;Tiene solución;Se aplica Pitágoras;Ninguna correcta;A
595;Si los catetos son 5 y 8, el área es:;20;34;40;60;A
596;Para resolver un triángulo oblicuángulo con dos lados y un ángulo se usa:;Ley de senos;Ley de cosenos;Senos o cosenos;Teorema de Pitágoras;C
597;Si nos dan tres lados de un triángulo oblicuángulo se aplica:;Ley de senos;Ley de cosenos;Senos o cosenos;Teorema de Pitágoras;B
598;Si nos dan dos ángulos y un lado en triángulo oblicuángulo se usa:;Ley de senos;Ley de cosenos;Función seno del ángulo;Teorema de Pitágoras;A
599;Si m∠A=30°, m∠C=45° y AB=16, entonces BC es:;6√3;8√2;8√3;16√2;C
600;Para calcular distancia AB con datos dados, ¿cuál planteo es incorrecto?;x=(40·sen(45°))/sen(50°);x²=40²+50²-2·40·50·cos(45°);x=(50·sen(45°))/sen(85°);x=(sen(45°)·sen(50°))/(40);D
601;Si a=2, c=3, B=60°, entonces b es:;√5;√7;√10;√13;B
602;Si a=√3, b=4, C=120°, entonces c es:;√19;√26;√37;√43;C
603;Si a=2, b=1, C=135°, entonces c es:;√3;√5;√6;2;B
604;Si A=60°, B=45°, entonces E=a/b es:;√3/2;√6/2;√3;√6;B
605;Si A=2C, a=√3 y c=2, entonces cos(C) es:;1/4;1/3;1/2;3/4;A
606;El mayor ángulo de un triángulo con lados proporcionales a 7, 8 y 13 es:;60°;90°;120°;135°;C
607;Si A=π/6, a=1, b=√3, entonces el ángulo B es:;30°;45°;60°;90°;C
608;En un triángulo ABC, E=b·sen(C)-c·sen(B) es igual a:;a;b;c;0;D
609;En un triángulo ABC, simplificar E=(b+c·sen(B))/(c-sen(C)) da:;0;1;a;b;B
610;Si a=2b, entonces E=(a·sen(C)+c·sen(A))/(b·sen(C)+c·sen(B)) es:;1/3;1/2;1;2;D
611;Si a=5, b=6, c=7, entonces E=(sen(A)+sen(C))/(sen(B)-sen(A)) es:;9;10;11;12;D
612;Si AB=3, A=45°, B=105°, entonces BC es:;1/2;√3;2√2;3√2;D
613;Si C=135°, b=2p, a=4√2p, c=√13p, entonces p es:;1;2;3;4;B
614;¿Cuántos elementos tiene un triángulo oblicuángulo?;Dos lados y un ángulo;Tres lados;Tres ángulos;Tres lados y tres ángulos;D
